BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginWeight,CurrentWeight
11450,3623,8/15/2022 22:47,4,324,91745,521173,204,0
11458,3623,8/17/2022 21:59,4,324,91745,521242,299,0
11528,3623,9/12/2022 23:07,4,415,93762,55,300,174
11603,3623,10/12/2022 20:25,4,313,94733,23,460,240
11638,3623,10/25/2022 18:59,4,415,93763,56,294,268
11696,3623,11/17/2022 17:15,4,215,95611,US81771,400,160
11850,3623,1/24/2023 20:04,4,322,96834,981239,500,0
11853,3623,1/25/2023 21:33,4,233,96897,38,600,0
11991,3623,3/17/2023 17:09,4,322,98066,"1061292, 1037789",500,0
12102,3623,4/24/2023 22:09,4,322,98816,PR100492,500,0
12178,3623,5/24/2023 20:59,4,322,99622,1083630,300,200
