BlendID,BlendDate,BlendCreatedBy,MaterialID,TotalWeight
418,2015-12-06 22:07:00,812,110,29.66
419,2015-12-06 23:24:00,812,110,17.88
420,2015-12-07 20:05:00,224,110,28.01
421,2015-12-07 21:44:00,812,220,134.58
422,2015-12-08 16:29:00,812,410,53.58
423,2015-12-08 18:42:00,745,510,117.14
424,2015-12-08 18:44:00,745,510,124.16
425,2015-12-08 18:46:00,745,510,124.84
426,2015-12-08 20:17:00,745,210,115.7
427,2015-12-08 20:23:00,745,210,120.10000000000001
428,2015-12-08 20:29:00,745,210,118.44
429,2015-12-08 20:36:00,745,210,121.28
430,2015-12-08 20:46:00,745,210,117.76
431,2015-12-08 21:05:00,745,210,117.96
432,2015-12-08 21:09:00,745,210,121.46000000000001
433,2015-12-08 21:16:00,745,210,119.74
434,2015-12-08 21:23:00,745,210,120.64
435,2015-12-08 21:28:00,745,210,118.92
436,2015-12-08 21:32:00,745,210,122.56
437,2015-12-08 21:39:00,745,210,120.96
438,2015-12-08 21:55:00,745,210,120.8
439,2015-12-08 22:07:00,745,210,119.06
440,2015-12-08 22:10:00,745,210,119.7
441,2015-12-08 22:18:00,745,210,114.98
442,2015-12-08 23:34:00,224,110,28.01
443,2015-12-09 15:53:00,224,110,26.02
444,2015-12-09 17:46:00,224,220,102.34
445,2015-12-09 18:10:00,745,210,115.32
446,2015-12-09 18:19:00,745,210,117.7
447,2015-12-09 18:22:00,745,210,123.30000000000001
448,2015-12-09 20:38:00,745,210,119.84
449,2015-12-09 20:43:00,745,210,118.67999999999999
450,2015-12-09 20:45:00,745,210,122.42
451,2015-12-09 21:15:00,745,210,116.24000000000001
452,2015-12-09 21:17:00,745,210,117.06
453,2015-12-09 21:22:00,745,210,121.58
454,2015-12-09 21:23:00,745,210,121.42
455,2015-12-09 21:27:00,745,210,120.7
456,2015-12-09 21:32:00,745,210,119.0
457,2015-12-09 21:33:00,745,210,118.14
458,2015-12-09 21:41:00,745,210,122.96
459,2015-12-09 21:43:00,745,210,119.58
460,2015-12-09 22:18:00,745,210,122.34
461,2015-12-09 22:20:00,745,210,118.72
462,2015-12-09 22:21:00,745,210,122.88
463,2015-12-09 22:24:00,745,210,120.94
464,2015-12-09 22:26:00,745,210,116.36
465,2015-12-09 22:28:00,812,220,87.0
466,2015-12-10 14:38:00,745,210,122.48
467,2015-12-10 14:41:00,745,210,119.2
468,2015-12-10 14:45:00,745,210,123.16
469,2015-12-10 15:15:00,812,320,80.7
470,2015-12-10 15:38:00,745,210,122.32
471,2015-12-10 15:40:00,745,210,119.53999999999999
472,2015-12-10 15:45:00,745,210,122.08
473,2015-12-10 17:57:00,745,210,125.7
474,2015-12-10 19:20:00,224,110,42.72
475,2015-12-10 19:56:00,745,210,122.66
476,2015-12-10 20:02:00,745,210,119.78
477,2015-12-10 20:04:00,745,210,121.89999999999999
478,2015-12-10 20:16:00,745,210,122.26
479,2015-12-10 20:18:00,745,210,119.06
480,2015-12-10 20:23:00,745,210,116.65
481,2015-12-10 20:26:00,812,410,53.66
482,2015-12-10 20:29:00,745,210,119.74
483,2015-12-10 20:31:00,745,210,122.24
484,2015-12-10 20:36:00,745,210,121.38
485,2015-12-10 20:44:00,745,210,122.12
486,2015-12-10 20:46:00,745,210,117.74
487,2015-12-11 15:02:00,745,210,121.8
488,2015-12-11 17:55:00,224,220,111.4
489,2015-12-11 19:34:00,665,210,121.74000000000001
490,2015-12-14 05:46:00,797,410,47.32
491,2015-12-14 15:23:00,812,410,47.32
492,2015-12-14 15:57:00,745,210,121.67999999999999
493,2015-12-14 16:03:00,745,210,122.1
494,2015-12-14 16:05:00,745,210,123.56
495,2015-12-14 16:15:00,665,210,121.34
